kind,subj_term,rel,correct,gate_1mu,gate_b,foil,a,m_l1,m_l2,m_ref,action,tag
id,Grace Barker,is scheduled at,1,0.914953,0.520019,0.998691,0.058350,0.023926,0.956055,0.212012,answer,None
id,James (brother),lives in,1,0.921611,0.638254,0.997927,0.059082,0.030518,0.728027,0.254962,answer,None
coll,Paul (cousin),lives in,1,0.873451,0.000002,0.535802,0.054688,0.002930,0.000000,0.305445,deliberate,stored
id,Ella Ziegler,lives in,1,0.986600,0.802078,0.999963,0.074219,0.041748,0.844482,0.307555,answer,None
ood,Leo Ziegler,is scheduled at,0,0.524292,0.000001,0.105453,0.039551,0.010010,0.006104,0.272540,recollect,None
id,Clara (friend from work),studied at,1,0.516907,0.163814,0.858325,0.039307,0.006104,0.918701,0.128560,recollect,None
coll,Oscar Meyer,manages,1,0.971521,0.000002,0.988920,0.067871,0.012207,0.000000,0.144550,deliberate,stored
id,Michael Sousa,reports to,1,0.967129,0.321424,0.999883,0.066650,0.031738,0.867920,0.134194,deliberate,referential
ood,Ruth Diaz,is married to,0,0.659138,0.000001,0.173213,0.044189,0.006836,0.003174,0.289692,deliberate,stored
id,Maria Olsen,is scheduled at,0,0.597039,0.298790,0.903259,0.041992,0.010254,0.904785,0.190145,recollect,None
ood,Anna Rios,lives in,0,0.371883,0.000222,0.149257,0.034424,0.006348,0.198975,0.109943,recollect,None
id,Anna (brother),reports to,1,0.828743,0.282434,0.991255,0.051758,0.015625,0.849854,0.137221,deliberate,referential
id,Max (friend from the gym),studied at,1,0.968959,0.838311,0.999398,0.067139,0.025146,0.871826,0.338710,answer,None
ood,Michael (colleague),studied at,0,0.568267,0.000010,0.172016,0.041016,0.007812,0.077148,0.243844,recollect,None
id,Grace Park,was born in,1,0.828743,0.724063,0.967323,0.051758,0.015137,0.838867,0.344718,answer,None
ood,Sarah Schmitt,studied at,0,0.252305,0.000037,0.013007,0.029785,0.000244,0.151123,0.275209,recollect,None
ood,Fairview,manages,0,0.161303,0.000000,0.000291,0.025146,0.000488,0.001709,0.659134,recollect,None
ood,John (manager),reports to,0,0.269416,0.000002,0.009838,0.030518,0.001709,0.043457,0.298198,recollect,None
ood,Simon (friend from the gym),studied at,0,0.632067,0.000004,0.384067,0.043213,0.012695,0.041504,0.175763,recollect,None
id,Maria (manager),studied at,1,0.937095,0.560545,0.997383,0.061035,0.028076,0.556396,0.221829,answer,None
ood,Dublin,reports to,0,0.443185,0.000001,0.019196,0.036865,0.005615,0.009521,0.425203,recollect,None
ood,David (sister-in-law),is married to,0,0.305754,0.000001,0.027152,0.031982,0.000244,0.009277,0.137620,recollect,None
id,Ella Wang,was born in,1,0.824502,0.474564,0.985255,0.051514,0.017334,0.812256,0.214371,answer,None
ood,Meridian Consulting,studied at,0,0.293338,0.000042,0.022206,0.031494,0.002197,0.150391,0.266554,recollect,None
id,Cascade Labs,is a sibling of,1,0.553693,0.474653,0.749636,0.040527,0.009521,0.927979,0.333411,recollect,None
ood,Max Weber,reports to,0,0.407045,0.000086,0.076242,0.035645,0.001709,0.163330,0.193726,recollect,None
id,Clara Yuan,works at,1,0.848732,0.454977,0.990989,0.052979,0.020996,0.770508,0.201561,answer,None
ref,James,was born in,1,0.787586,0.130220,0.987568,0.049561,0.016602,0.728027,0.060479,deliberate,referential
ref,John,studied at,1,0.820179,0.135647,0.991539,0.051270,0.017090,0.729980,0.060505,deliberate,referential
ood,Ruth Ito,studied at,0,0.230637,0.000000,0.004963,0.028809,0.000244,0.000732,0.310117,recollect,None
id,Victor Kim,studied at,1,0.756373,0.437751,0.973132,0.048096,0.015625,0.869385,0.215412,answer,None
coll,Michael Lopez,is married to,1,0.917228,0.000002,0.918693,0.058594,0.013184,0.000000,0.189404,deliberate,stored
id,Alice Nguyen,is scheduled at,1,0.777517,0.432234,0.983588,0.049072,0.021240,0.823975,0.207968,answer,None
id,Orion Logistics,lives in,1,0.863310,0.594551,0.993059,0.053955,0.021240,0.867920,0.253519,answer,None
id,Hugo Park,reports to,1,0.885966,0.807457,0.990694,0.055664,0.020996,0.902100,0.376454,answer,None
id,Summit Analytics,studied at,1,0.917228,0.844203,0.993355,0.058594,0.015137,0.970703,0.385807,answer,None
ood,Alice (sister-in-law),is scheduled at,0,0.246764,0.000001,0.019035,0.029541,0.000244,0.014893,0.120020,recollect,None
ref,Robert,is married to,1,0.925781,0.091878,0.999385,0.059570,0.027100,0.704102,0.013548,deliberate,referential
id,Atlas Dynamics,is a sibling of,1,0.697832,0.543506,0.965059,0.045654,0.020264,0.955811,0.290718,answer,None
id,Simon Quinn,manages,1,0.815774,0.491235,0.989422,0.051025,0.016846,0.952881,0.223161,answer,None
id,Laura (brother),is scheduled at,1,0.728088,0.387530,0.925714,0.046875,0.009277,0.755615,0.200337,answer,None
ood,Chris (friend from work),manages,0,0.241305,0.000001,0.018096,0.029297,0.001709,0.013184,0.137827,recollect,None
ood,Max Hansen,lives in,0,0.281222,0.000001,0.015156,0.031006,0.001709,0.013428,0.224082,recollect,None
ood,Tom Quinn,reports to,0,0.371883,0.000001,0.035678,0.034424,0.000244,0.009033,0.171916,recollect,None
id,Ruth Olson,was born in,1,0.546370,0.398849,0.702090,0.040283,0.001709,0.933594,0.269569,recollect,None
id,Anna Rios,was born in,1,0.299509,0.080508,0.522461,0.031738,0.001465,0.933594,0.109943,recollect,None
id,Sofia Park,manages,1,0.940495,0.811067,0.999051,0.061523,0.030762,0.934082,0.336818,answer,None
coll,Lena (neighbour),studied at,1,0.965195,0.000002,0.977510,0.066162,0.020508,0.000000,0.310833,deliberate,stored
ood,Elena Webber,studied at,0,0.299509,0.000001,0.021430,0.031738,0.001465,0.001709,0.180112,recollect,None
id,Lena Vogel,was born in,1,0.866764,0.402802,0.993426,0.054199,0.011230,0.953125,0.178691,deliberate,referential
id,Selma,studied at,1,0.638921,0.625335,0.735557,0.043457,0.013184,0.940674,0.496338,recollect,None
ood,Zoe Webber,studied at,0,0.195943,0.000000,0.009596,0.027100,0.002930,0.006592,0.182071,recollect,None
id,Cascade Consulting,studied at,1,0.604137,0.511517,0.822063,0.042236,0.008789,0.956055,0.326710,recollect,None
ood,Ella (sister-in-law),works at,0,0.371883,0.000001,0.023178,0.034424,0.003662,0.001953,0.283598,recollect,None
id,Adam Silva,reports to,1,0.986203,0.350722,0.999992,0.073975,0.043213,0.953369,0.142449,deliberate,referential
